log_path,model,base_key,seed,init_seed,se,smape
../results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed11.txt,Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.30375,0.79159
../results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed13.txt,Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,2,,0.66366,1.04524
../results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed13.txt,Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,2,,0.46377,0.88826
../results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed11.txt,Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.45953,1.01365
../results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed12.txt,Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,3,,0.30375,0.80708
../results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed11.txt,Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.66366,1.06436
../results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed11.txt,Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.46377,0.89614
../results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed12.txt,Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,3,,0.45953,1.01071
../results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed13.txt,Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,3,,0.30375,0.9108
../results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed12.txt,Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,3,,0.66366,1.0717
../results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed12.txt,Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,3,,0.46377,0.89158
../results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed13.txt,Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,3,,0.45953,1.01933
../results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed13.txt,Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,3,,0.66366,1.0911
../results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed13.txt,Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,3,,0.46377,0.90144
